crm_account_id,company_name,billing_address,contact_email,phone_num,account_status
CRM-20034,Gamma Logistics,"620 Market St, Singapore 459536",contact@gammalogistics.com,+65 78908343,Active
CRM-20035,Pinnacle Enterprises,"928 Industrial Ave, Singapore 765095",contact@pinnacleenterprises.com,+65 76852461,Prospect
CRM-20036,Tech Systems,"565 Tech Park, Singapore 110139",contact@techsystems.com,+65 89651079,Active
CRM-20037,Pinnacle Components,"597 Market St, Singapore 233636",contact@pinnaclecomponents.com,+65 84777665,Active
CRM-20038,Alpha Holdings,"699 Market St, Singapore 207786",contact@alphaholdings.com,+65 74097997,Prospect
CRM-20039,Apex Networks,"948 Market St, Singapore 938742",contact@apexnetworks.com,+65 70371898,Active
CRM-20040,Apex Corp,"164 Industrial Ave, Singapore 140605",contact@apexcorp.com,+65 77905028,Prospect
CRM-20041,Innovate Logistics,"229 Industrial Ave, Singapore 302511",contact@innovatelogistics.com,+65 75273674,Prospect
CRM-20042,Tech Holdings,"410 Innovation Dr, Singapore 220944",contact@techholdings.com,+65 94185636,Prospect
CRM-20043,Dynamic Holdings,"621 Industrial Ave, Singapore 704596",contact@dynamicholdings.com,+65 89285897,Active
CRM-20044,Pinnacle Industries,"373 Tech Park, Singapore 796503",contact@pinnacleindustries.com,+65 73222803,Prospect
CRM-20045,Beta Logistics,"317 Tech Park, Singapore 521947",contact@betalogistics.com,+65 94032415,Inactive
CRM-20046,XYZ Systems,"309 Tech Park, Singapore 974224",contact@xyzsystems.com,+65 98192007,Active
CRM-20047,Quantum Networks,"477 Tech Park, Singapore 808446",contact@quantumnetworks.com,+65 81625779,Active
CRM-20048,Dynamic Systems,"291 Innovation Dr, Singapore 958179",contact@dynamicsystems.com,+65 65690532,Active
CRM-20049,Global Enterprises,"467 Tech Park, Singapore 703634",contact@globalenterprises.com,+65 64887419,Active
CRM-20050,XYZ Components,"798 Tech Park, Singapore 284430",contact@xyzcomponents.com,+65 67152952,Inactive
CRM-20051,Future Solutions,"137 Tech Park, Singapore 656932",contact@futuresolutions.com,+65 90632634,Inactive
CRM-20052,Quantum Industries,"851 Tech Park, Singapore 879779",contact@quantumindustries.com,+65 88638087,Prospect
CRM-20053,Pinnacle Enterprises,"282 Tech Park, Singapore 848206",contact@pinnacleenterprises.com,+65 76055518,Prospect
CRM-20054,Global Group,"724 Market St, Singapore 535020",contact@globalgroup.com,+65 70254587,Prospect
CRM-20055,Global Group,"927 Industrial Ave, Singapore 902784",contact@globalgroup.com,+65 86137346,Inactive
CRM-20056,Tech Group,"552 Market St, Singapore 330080",contact@techgroup.com,+65 88120042,Prospect
CRM-20057,XYZ Systems,"942 Market St, Singapore 660069",contact@xyzsystems.com,+65 91366021,Active
CRM-20058,ABC Components,"659 Tech Park, Singapore 584125",contact@abccomponents.com,+65 65633618,Active
CRM-20059,Apex Logistics,"259 Industrial Ave, Singapore 120324",contact@apexlogistics.com,+65 88290736,Inactive
CRM-20060,Alpha Components,"205 Industrial Ave, Singapore 259784",contact@alphacomponents.com,+65 76594901,Active
CRM-20061,Tech Holdings,"621 Industrial Ave, Singapore 959099",contact@techholdings.com,+65 71260138,Active
CRM-20062,ABC Group,"965 Market St, Singapore 720859",contact@abcgroup.com,+65 86619028,Inactive
CRM-20063,ABC Networks,"816 Industrial Ave, Singapore 658623",contact@abcnetworks.com,+65 68123867,Prospect
CRM-20064,Apex Enterprises,"444 Innovation Dr, Singapore 968962",contact@apexenterprises.com,+65 67082593,Prospect
CRM-20065,XYZ Industries,"631 Tech Park, Singapore 556732",contact@xyzindustries.com,+65 78124922,Inactive
CRM-20066,Future Solutions,"903 Tech Park, Singapore 886931",contact@futuresolutions.com,+65 78718557,Prospect
CRM-20067,Gamma Enterprises,"364 Innovation Dr, Singapore 393243",contact@gammaenterprises.com,+65 74235122,Inactive
CRM-20068,Beta Corp,"501 Market St, Singapore 599219",contact@betacorp.com,+65 87274929,Inactive
CRM-20069,Alpha Solutions,"227 Tech Park, Singapore 355123",contact@alphasolutions.com,+65 79745815,Prospect
CRM-20070,XYZ Industries,"361 Tech Park, Singapore 421517",contact@xyzindustries.com,+65 82199028,Prospect
CRM-20071,Dynamic Systems,"222 Tech Park, Singapore 859782",contact@dynamicsystems.com,+65 72854097,Inactive
CRM-20072,Tech Solutions,"304 Market St, Singapore 288158",contact@techsolutions.com,+65 73027010,Prospect
CRM-20073,Tech Systems,"106 Industrial Ave, Singapore 398151",contact@techsystems.com,+65 92942311,Prospect
CRM-20074,Summit Solutions,"411 Tech Park, Singapore 705050",contact@summitsolutions.com,+65 64385123,Inactive
CRM-20075,Beta Corp,"572 Tech Park, Singapore 725084",contact@betacorp.com,+65 67949149,Inactive
CRM-20076,Quantum Group,"583 Industrial Ave, Singapore 876039",contact@quantumgroup.com,+65 80493721,Active
CRM-20077,Gamma Corp,"566 Industrial Ave, Singapore 102805",contact@gammacorp.com,+65 71664429,Prospect
CRM-20078,Alpha Corp,"724 Innovation Dr, Singapore 576086",contact@alphacorp.com,+65 79334391,Active
CRM-20079,Dynamic Networks,"436 Industrial Ave, Singapore 335729",contact@dynamicnetworks.com,+65 73275422,Inactive
CRM-20080,Beta Components,"812 Innovation Dr, Singapore 885339",contact@betacomponents.com,+65 71134889,Inactive
CRM-20081,Summit Logistics,"966 Innovation Dr, Singapore 666211",contact@summitlogistics.com,+65 87011889,Prospect
CRM-20082,Tech Components,"235 Industrial Ave, Singapore 804938",contact@techcomponents.com,+65 66128843,Prospect
CRM-20083,Summit Industries,"939 Innovation Dr, Singapore 713762",contact@summitindustries.com,+65 89677512,Prospect
CRM-20084,Beta Enterprises,"419 Innovation Dr, Singapore 802685",contact@betaenterprises.com,+65 83351271,Active
CRM-20085,Apex Industries,"466 Industrial Ave, Singapore 364659",contact@apexindustries.com,+65 62462702,Prospect
CRM-20086,Pinnacle Components,"474 Tech Park, Singapore 296694",contact@pinnaclecomponents.com,+65 96412839,Inactive
CRM-20087,Summit Components,"274 Market St, Singapore 559398",contact@summitcomponents.com,+65 73660562,Inactive
CRM-20088,Quantum Corp,"319 Industrial Ave, Singapore 527809",contact@quantumcorp.com,+65 70628578,Active
CRM-20089,Beta Systems,"956 Innovation Dr, Singapore 839677",contact@betasystems.com,+65 93445413,Prospect
CRM-20090,Global Enterprises,"149 Tech Park, Singapore 728492",contact@globalenterprises.com,+65 96994773,Inactive
CRM-20091,Future Group,"957 Innovation Dr, Singapore 102689",contact@futuregroup.com,+65 82808641,Prospect
CRM-20092,Quantum Enterprises,"458 Tech Park, Singapore 448588",contact@quantumenterprises.com,+65 69972069,Inactive
CRM-20093,XYZ Corp,"393 Market St, Singapore 913217",contact@xyzcorp.com,+65 98372690,Prospect
CRM-20094,Dynamic Group,"680 Market St, Singapore 138817",contact@dynamicgroup.com,+65 85909306,Active
CRM-20095,Beta Industries,"16 Market St, Singapore 786587",contact@betaindustries.com,+65 90663924,Active
CRM-20096,Innovate Networks,"666 Industrial Ave, Singapore 444525",contact@innovatenetworks.com,+65 86674654,Inactive
CRM-20097,Dynamic Enterprises,"37 Industrial Ave, Singapore 761820",contact@dynamicenterprises.com,+65 96306970,Inactive
CRM-20098,XYZ Solutions,"101 Industrial Ave, Singapore 274446",contact@xyzsolutions.com,+65 89123332,Inactive
CRM-20099,Innovate Group,"251 Tech Park, Singapore 814919",contact@innovategroup.com,+65 69769023,Active
CRM-20100,Apex Networks,"510 Market St, Singapore 583550",contact@apexnetworks.com,+65 76161813,Inactive
CRM-20101,Dynamic Enterprises,"694 Market St, Singapore 563187",contact@dynamicenterprises.com,+65 79302634,Prospect
CRM-20102,Summit Logistics,"394 Tech Park, Singapore 348728",contact@summitlogistics.com,+65 73369226,Prospect
CRM-20103,Future Group,"9 Industrial Ave, Singapore 881369",contact@futuregroup.com,+65 78420066,Prospect
CRM-20104,Dynamic Corp,"225 Market St, Singapore 362801",contact@dynamiccorp.com,+65 83643859,Inactive
CRM-20105,ABC Systems,"926 Industrial Ave, Singapore 926918",contact@abcsystems.com,+65 66520560,Prospect
CRM-20106,Beta Logistics,"766 Tech Park, Singapore 310548",contact@betalogistics.com,+65 81925749,Active
CRM-20107,Innovate Industries,"936 Innovation Dr, Singapore 272537",contact@innovateindustries.com,+65 93674876,Prospect
CRM-20108,Dynamic Logistics,"824 Industrial Ave, Singapore 178957",contact@dynamiclogistics.com,+65 82730795,Active
CRM-20109,Apex Industries,"93 Tech Park, Singapore 377304",contact@apexindustries.com,+65 84546748,Inactive
CRM-20110,ABC Logistics,"391 Innovation Dr, Singapore 807617",contact@abclogistics.com,+65 99229163,Active
CRM-20111,Pinnacle Holdings,"664 Industrial Ave, Singapore 963874",contact@pinnacleholdings.com,+65 74855701,Prospect
CRM-20112,Alpha Logistics,"119 Industrial Ave, Singapore 663658",contact@alphalogistics.com,+65 93059478,Active
CRM-20113,XYZ Industries,"602 Market St, Singapore 786735",contact@xyzindustries.com,+65 88127120,Active
CRM-20114,Tech Components,"223 Tech Park, Singapore 347582",contact@techcomponents.com,+65 84865844,Prospect
CRM-20115,Alpha Group,"195 Industrial Ave, Singapore 964226",contact@alphagroup.com,+65 78514090,Prospect
CRM-20116,Quantum Components,"806 Innovation Dr, Singapore 232040",contact@quantumcomponents.com,+65 63394266,Inactive
CRM-20117,Global Networks,"833 Market St, Singapore 911984",contact@globalnetworks.com,+65 74492249,Active
CRM-20118,Tech Systems,"554 Innovation Dr, Singapore 282973",contact@techsystems.com,+65 68723624,Active
CRM-20119,Global Networks,"17 Market St, Singapore 154944",contact@globalnetworks.com,+65 81727935,Active
CRM-20120,XYZ Solutions,"460 Innovation Dr, Singapore 722503",contact@xyzsolutions.com,+65 91960325,Active
CRM-20121,Alpha Industries,"470 Industrial Ave, Singapore 602248",contact@alphaindustries.com,+65 80242068,Prospect
CRM-20122,Summit Solutions,"330 Market St, Singapore 232321",contact@summitsolutions.com,+65 65421757,Prospect
CRM-20123,XYZ Holdings,"612 Innovation Dr, Singapore 630108",contact@xyzholdings.com,+65 85562061,Inactive
CRM-20124,Future Industries,"441 Tech Park, Singapore 533914",contact@futureindustries.com,+65 74429953,Prospect
CRM-20125,Innovate Logistics,"977 Market St, Singapore 597305",contact@innovatelogistics.com,+65 85118916,Active
CRM-20126,Dynamic Systems,"62 Innovation Dr, Singapore 228168",contact@dynamicsystems.com,+65 97337408,Prospect
CRM-20127,Apex Components,"615 Innovation Dr, Singapore 208633",contact@apexcomponents.com,+65 79302482,Inactive
CRM-20128,Global Solutions,"866 Innovation Dr, Singapore 899649",contact@globalsolutions.com,+65 83495752,Prospect
CRM-20129,Pinnacle Networks,"27 Innovation Dr, Singapore 289179",contact@pinnaclenetworks.com,+65 97362172,Prospect
CRM-20130,Future Systems,"674 Tech Park, Singapore 248766",contact@futuresystems.com,+65 98005165,Inactive
CRM-20131,Apex Enterprises,"162 Innovation Dr, Singapore 856648",contact@apexenterprises.com,+65 82877142,Prospect
CRM-20132,Beta Components,"162 Industrial Ave, Singapore 185544",contact@betacomponents.com,+65 70440790,Prospect
CRM-20133,Summit Group,"221 Industrial Ave, Singapore 550797",contact@summitgroup.com,+65 78331916,Active
CRM-20134,Pinnacle Logistics,"226 Tech Park, Singapore 157443",contact@pinnaclelogistics.com,+65 63047907,Active
CRM-20135,Dynamic Logistics,"336 Industrial Ave, Singapore 621546",contact@dynamiclogistics.com,+65 79424468,Inactive
CRM-20136,Future Holdings,"407 Industrial Ave, Singapore 119651",contact@futureholdings.com,+65 64836904,Prospect
CRM-20137,Quantum Group,"415 Tech Park, Singapore 220768",contact@quantumgroup.com,+65 98480201,Prospect
CRM-20138,XYZ Holdings,"448 Industrial Ave, Singapore 556839",contact@xyzholdings.com,+65 65914296,Inactive
CRM-20139,Innovate Systems,"523 Industrial Ave, Singapore 634723",contact@innovatesystems.com,+65 65125733,Active
CRM-20140,Future Systems,"106 Market St, Singapore 306854",contact@futuresystems.com,+65 75855734,Active
CRM-20141,ABC Solutions,"975 Tech Park, Singapore 891093",contact@abcsolutions.com,+65 71888075,Inactive
CRM-20142,Quantum Networks,"885 Innovation Dr, Singapore 561124",contact@quantumnetworks.com,+65 81690137,Active
CRM-20143,Pinnacle Solutions,"473 Tech Park, Singapore 159653",contact@pinnaclesolutions.com,+65 80831118,Prospect
CRM-20144,Quantum Networks,"394 Tech Park, Singapore 681242",contact@quantumnetworks.com,+65 94028745,Inactive
CRM-20145,Dynamic Networks,"330 Tech Park, Singapore 258189",contact@dynamicnetworks.com,+65 72632536,Active
CRM-20146,Innovate Solutions,"662 Market St, Singapore 359778",contact@innovatesolutions.com,+65 93859710,Inactive
CRM-20147,Quantum Systems,"382 Innovation Dr, Singapore 528625",contact@quantumsystems.com,+65 84420778,Prospect
CRM-20148,Innovate Solutions,"695 Tech Park, Singapore 364236",contact@innovatesolutions.com,+65 97444277,Inactive
CRM-20149,Quantum Systems,"84 Market St, Singapore 425301",contact@quantumsystems.com,+65 82371547,Inactive
CRM-20150,Tech Industries,"659 Innovation Dr, Singapore 234001",contact@techindustries.com,+65 85278520,Inactive
CRM-20151,ABC Industries,"662 Tech Park, Singapore 479404",contact@abcindustries.com,+65 66271522,Active
CRM-20152,Innovate Enterprises,"232 Market St, Singapore 180913",contact@innovateenterprises.com,+65 72885253,Prospect
CRM-20153,Pinnacle Components,"898 Market St, Singapore 495019",contact@pinnaclecomponents.com,+65 82599874,Active
CRM-20154,Quantum Systems,"45 Tech Park, Singapore 809217",contact@quantumsystems.com,+65 89371765,Inactive
CRM-20155,Dynamic Enterprises,"547 Market St, Singapore 947903",contact@dynamicenterprises.com,+65 75703671,Prospect
CRM-20156,Summit Enterprises,"797 Tech Park, Singapore 653081",contact@summitenterprises.com,+65 78909380,Prospect
CRM-20157,Dynamic Networks,"894 Innovation Dr, Singapore 772324",contact@dynamicnetworks.com,+65 69287768,Prospect
CRM-20158,Beta Industries,"292 Industrial Ave, Singapore 268099",contact@betaindustries.com,+65 68366983,Prospect
CRM-20159,Global Enterprises,"953 Industrial Ave, Singapore 155843",contact@globalenterprises.com,+65 83460257,Prospect
CRM-20160,Innovate Solutions,"811 Market St, Singapore 140163",contact@innovatesolutions.com,+65 82500954,Prospect
CRM-20161,Future Systems,"460 Industrial Ave, Singapore 119927",contact@futuresystems.com,+65 91481447,Prospect
CRM-20162,XYZ Networks,"434 Industrial Ave, Singapore 402096",contact@xyznetworks.com,+65 95418146,Active
CRM-20163,Beta Solutions,"612 Industrial Ave, Singapore 640410",contact@betasolutions.com,+65 93542971,Inactive
CRM-20164,Quantum Group,"681 Industrial Ave, Singapore 478120",contact@quantumgroup.com,+65 72570423,Active
CRM-20165,Dynamic Industries,"21 Tech Park, Singapore 145649",contact@dynamicindustries.com,+65 97188508,Inactive
CRM-20166,Innovate Corp,"791 Innovation Dr, Singapore 146489",contact@innovatecorp.com,+65 66956764,Prospect
CRM-20167,Future Enterprises,"647 Market St, Singapore 241403",contact@futureenterprises.com,+65 92113683,Active
CRM-20168,Alpha Logistics,"45 Market St, Singapore 430926",contact@alphalogistics.com,+65 73528542,Prospect
CRM-20169,Tech Components,"293 Innovation Dr, Singapore 150126",contact@techcomponents.com,+65 72824734,Inactive
CRM-20170,Apex Group,"917 Tech Park, Singapore 295892",contact@apexgroup.com,+65 89510225,Prospect
CRM-20171,Beta Group,"441 Market St, Singapore 408036",contact@betagroup.com,+65 65296701,Prospect
CRM-20172,Tech Enterprises,"171 Tech Park, Singapore 568849",contact@techenterprises.com,+65 88596165,Active
CRM-20173,Quantum Group,"655 Industrial Ave, Singapore 803787",contact@quantumgroup.com,+65 78425098,Inactive
CRM-20174,ABC Systems,"147 Tech Park, Singapore 232361",contact@abcsystems.com,+65 62089811,Active
CRM-20175,Quantum Systems,"972 Innovation Dr, Singapore 565504",contact@quantumsystems.com,+65 90193792,Active
CRM-20176,Beta Components,"512 Tech Park, Singapore 223481",contact@betacomponents.com,+65 72485473,Prospect
CRM-20177,Global Networks,"711 Tech Park, Singapore 228594",contact@globalnetworks.com,+65 79164739,Active
CRM-20178,XYZ Enterprises,"830 Innovation Dr, Singapore 464301",contact@xyzenterprises.com,+65 65891536,Inactive
CRM-20179,XYZ Systems,"521 Market St, Singapore 310743",contact@xyzsystems.com,+65 84259329,Active
CRM-20180,Dynamic Industries,"627 Industrial Ave, Singapore 424314",contact@dynamicindustries.com,+65 68708799,Prospect
CRM-20181,Pinnacle Group,"844 Industrial Ave, Singapore 432427",contact@pinnaclegroup.com,+65 87476618,Inactive
CRM-20182,Innovate Systems,"656 Market St, Singapore 235300",contact@innovatesystems.com,+65 96997347,Prospect
CRM-20183,Pinnacle Systems,"169 Market St, Singapore 843788",contact@pinnaclesystems.com,+65 80409452,Active
CRM-20184,Future Solutions,"202 Innovation Dr, Singapore 755383",contact@futuresolutions.com,+65 76817837,Prospect
CRM-20185,Quantum Systems,"675 Innovation Dr, Singapore 690996",contact@quantumsystems.com,+65 71489079,Active
CRM-20186,Quantum Logistics,"786 Tech Park, Singapore 770030",contact@quantumlogistics.com,+65 74147110,Active
CRM-20187,ABC Logistics,"251 Tech Park, Singapore 575575",contact@abclogistics.com,+65 92409878,Active
CRM-20188,Innovate Networks,"321 Innovation Dr, Singapore 462147",contact@innovatenetworks.com,+65 69641442,Prospect
CRM-20189,Beta Holdings,"478 Industrial Ave, Singapore 571435",contact@betaholdings.com,+65 76222753,Active
CRM-20190,Global Systems,"957 Innovation Dr, Singapore 900190",contact@globalsystems.com,+65 81973845,Active
CRM-20191,Tech Enterprises,"93 Tech Park, Singapore 579441",contact@techenterprises.com,+65 61555335,Active
CRM-20192,Future Enterprises,"550 Industrial Ave, Singapore 212718",contact@futureenterprises.com,+65 79176249,Prospect
CRM-20193,Dynamic Group,"47 Tech Park, Singapore 697983",contact@dynamicgroup.com,+65 84557640,Inactive
CRM-20194,Pinnacle Logistics,"132 Industrial Ave, Singapore 491326",contact@pinnaclelogistics.com,+65 67973272,Prospect
CRM-20195,Global Networks,"412 Industrial Ave, Singapore 140804",contact@globalnetworks.com,+65 94166633,Active
CRM-20196,Pinnacle Enterprises,"621 Market St, Singapore 742848",contact@pinnacleenterprises.com,+65 69995238,Prospect
CRM-20197,Tech Networks,"520 Tech Park, Singapore 690268",contact@technetworks.com,+65 82573640,Prospect
CRM-20198,Quantum Logistics,"612 Tech Park, Singapore 787436",contact@quantumlogistics.com,+65 61788260,Inactive
CRM-20199,XYZ Networks,"152 Market St, Singapore 700383",contact@xyznetworks.com,+65 85514141,Inactive
CRM-20200,Apex Systems,"708 Market St, Singapore 626195",contact@apexsystems.com,+65 87713283,Inactive
CRM-20201,XYZ Components,"532 Market St, Singapore 440839",contact@xyzcomponents.com,+65 69266558,Inactive
CRM-20202,Innovate Industries,"693 Innovation Dr, Singapore 607699",contact@innovateindustries.com,+65 83775797,Active
CRM-20203,Tech Logistics,"707 Tech Park, Singapore 603110",contact@techlogistics.com,+65 73910177,Prospect
CRM-20204,Tech Solutions,"693 Tech Park, Singapore 958130",contact@techsolutions.com,+65 98485376,Prospect
CRM-20205,Tech Components,"979 Industrial Ave, Singapore 563864",contact@techcomponents.com,+65 79302545,Inactive
CRM-20206,Pinnacle Logistics,"112 Market St, Singapore 153231",contact@pinnaclelogistics.com,+65 69212232,Inactive
CRM-20207,Innovate Enterprises,"698 Market St, Singapore 677086",contact@innovateenterprises.com,+65 66747454,Active
CRM-20208,Global Logistics,"293 Industrial Ave, Singapore 193806",contact@globallogistics.com,+65 81553199,Inactive
CRM-20209,Future Components,"428 Market St, Singapore 976822",contact@futurecomponents.com,+65 71748398,Prospect
CRM-20210,Tech Components,"306 Industrial Ave, Singapore 398384",contact@techcomponents.com,+65 60621909,Prospect
CRM-20211,Summit Systems,"480 Innovation Dr, Singapore 948102",contact@summitsystems.com,+65 93837139,Active
CRM-20212,Tech Systems,"755 Innovation Dr, Singapore 409355",contact@techsystems.com,+65 60945174,Inactive
CRM-20213,Apex Group,"336 Industrial Ave, Singapore 801765",contact@apexgroup.com,+65 94579899,Active
CRM-20214,Global Components,"393 Market St, Singapore 890371",contact@globalcomponents.com,+65 77501003,Prospect
CRM-20215,ABC Holdings,"64 Industrial Ave, Singapore 421709",contact@abcholdings.com,+65 75857997,Active
CRM-20216,XYZ Logistics,"655 Innovation Dr, Singapore 744481",contact@xyzlogistics.com,+65 67879637,Active
CRM-20217,Summit Networks,"426 Tech Park, Singapore 663628",contact@summitnetworks.com,+65 85073538,Inactive
CRM-20218,ABC Networks,"539 Tech Park, Singapore 837952",contact@abcnetworks.com,+65 65494223,Prospect
CRM-20219,Global Networks,"154 Market St, Singapore 995993",contact@globalnetworks.com,+65 96014653,Inactive
CRM-20220,Pinnacle Enterprises,"465 Market St, Singapore 535604",contact@pinnacleenterprises.com,+65 63733655,Prospect
CRM-20221,Dynamic Logistics,"406 Innovation Dr, Singapore 103161",contact@dynamiclogistics.com,+65 61460990,Inactive
CRM-20222,Alpha Solutions,"33 Innovation Dr, Singapore 288724",contact@alphasolutions.com,+65 91680162,Active
CRM-20223,ABC Group,"913 Tech Park, Singapore 495833",contact@abcgroup.com,+65 85129646,Prospect
CRM-20224,Gamma Holdings,"183 Tech Park, Singapore 233533",contact@gammaholdings.com,+65 67961337,Inactive
CRM-20225,Dynamic Components,"475 Tech Park, Singapore 497700",contact@dynamiccomponents.com,+65 80022801,Active
CRM-20226,Dynamic Solutions,"829 Tech Park, Singapore 903265",contact@dynamicsolutions.com,+65 62162067,Active
CRM-20227,XYZ Components,"759 Industrial Ave, Singapore 560285",contact@xyzcomponents.com,+65 76423830,Active
CRM-20228,Alpha Systems,"297 Market St, Singapore 867051",contact@alphasystems.com,+65 93815877,Inactive
CRM-20229,Future Holdings,"310 Market St, Singapore 646571",contact@futureholdings.com,+65 75898360,Active
CRM-20230,Gamma Group,"508 Industrial Ave, Singapore 774565",contact@gammagroup.com,+65 97302506,Inactive
CRM-20231,Apex Systems,"485 Market St, Singapore 336290",contact@apexsystems.com,+65 96099754,Prospect
CRM-20232,Apex Group,"543 Market St, Singapore 354655",contact@apexgroup.com,+65 97398881,Prospect
CRM-20233,Pinnacle Corp,"275 Tech Park, Singapore 734356",contact@pinnaclecorp.com,+65 63458564,Inactive
CRM-20234,Pinnacle Corp,"214 Innovation Dr, Singapore 116078",contact@pinnaclecorp.com,+65 92171600,Active
CRM-20235,Beta Enterprises,"713 Market St, Singapore 350956",contact@betaenterprises.com,+65 76280152,Inactive
CRM-20236,Tech Holdings,"904 Tech Park, Singapore 203398",contact@techholdings.com,+65 94414535,Inactive
CRM-20237,Innovate Holdings,"47 Market St, Singapore 253011",contact@innovateholdings.com,+65 87778383,Active
CRM-20238,Apex Logistics,"201 Innovation Dr, Singapore 498290",contact@apexlogistics.com,+65 70228156,Inactive
CRM-20239,ABC Holdings,"782 Tech Park, Singapore 772865",contact@abcholdings.com,+65 77268906,Inactive
CRM-20240,Innovate Systems,"738 Tech Park, Singapore 668471",contact@innovatesystems.com,+65 69392457,Inactive
CRM-20241,Future Solutions,"783 Industrial Ave, Singapore 244170",contact@futuresolutions.com,+65 63255745,Inactive
CRM-20242,Alpha Networks,"676 Tech Park, Singapore 106933",contact@alphanetworks.com,+65 92427281,Inactive
CRM-20243,Tech Components,"833 Tech Park, Singapore 287974",contact@techcomponents.com,+65 93703147,Active
CRM-20244,Global Corp,"259 Innovation Dr, Singapore 933551",contact@globalcorp.com,+65 95329863,Prospect
CRM-20245,Global Corp,"701 Industrial Ave, Singapore 999908",contact@globalcorp.com,+65 80130957,Inactive
CRM-20246,Alpha Components,"85 Tech Park, Singapore 554987",contact@alphacomponents.com,+65 71501357,Inactive
CRM-20247,Future Solutions,"942 Industrial Ave, Singapore 321686",contact@futuresolutions.com,+65 95444162,Inactive
CRM-20248,Alpha Solutions,"921 Industrial Ave, Singapore 991737",contact@alphasolutions.com,+65 78815514,Prospect
