erp_cust_num,legal_entity_name,tax_identification,duns_num,street_address,city,country_iso,finance_email
ERP-450211,SUMMIT SYSTEMS PRIVATE LIMITED,SG-TAX-302177,885033297,480 Innovation Dr,Singapore,SG,billing@summitsystems.com
ERP-450213,APEX GROUP PRIVATE LIMITED,SG-TAX-520304,250980852,336 Industrial Ave,Singapore,SG,billing@apexgroup.com
ERP-450215,ABC HOLDINGS PRIVATE LIMITED,SG-TAX-588002,639577241,64 Industrial Ave,Singapore,SG,billing@abcholdings.com
ERP-450216,XYZ LOGISTICS PRIVATE LIMITED,SG-TAX-485397,243418388,655 Innovation Dr,Singapore,SG,billing@xyzlogistics.com
ERP-450218,ABC NETWORKS PRIVATE LIMITED,SG-TAX-653829,705771555,539 Tech Park,Singapore,SG,billing@abcnetworks.com
ERP-450219,GLOBAL NETWORKS PRIVATE LIMITED,SG-TAX-444056,830461452,154 Market St,Singapore,SG,billing@globalnetworks.com
ERP-450220,PINNACLE ENTERPRISES PRIVATE LIMITED,SG-TAX-638179,700003920,465 Market St,Singapore,SG,billing@pinnacleenterprises.com
ERP-450221,DYNAMIC LOGISTICS PRIVATE LIMITED,SG-TAX-956113,178414859,406 Innovation Dr,Singapore,SG,billing@dynamiclogistics.com
ERP-450223,ABC GROUP PRIVATE LIMITED,SG-TAX-570325,810594320,913 Tech Park,Singapore,SG,billing@abcgroup.com
ERP-450225,DYNAMIC COMPONENTS PRIVATE LIMITED,SG-TAX-657772,471686188,475 Tech Park,Singapore,SG,billing@dynamiccomponents.com
ERP-450226,DYNAMIC SOLUTIONS PRIVATE LIMITED,SG-TAX-744793,172253060,829 Tech Park,Singapore,SG,billing@dynamicsolutions.com
ERP-450227,XYZ COMPONENTS PRIVATE LIMITED,SG-TAX-521805,910015485,759 Industrial Ave,Singapore,SG,billing@xyzcomponents.com
ERP-450228,ALPHA SYSTEMS PRIVATE LIMITED,SG-TAX-955413,742009209,297 Market St,Singapore,SG,billing@alphasystems.com
ERP-450229,FUTURE HOLDINGS PRIVATE LIMITED,SG-TAX-792282,395444277,310 Market St,Singapore,SG,billing@futureholdings.com
ERP-450230,GAMMA GROUP PRIVATE LIMITED,SG-TAX-461145,663137920,508 Industrial Ave,Singapore,SG,billing@gammagroup.com
ERP-450232,APEX GROUP PRIVATE LIMITED,SG-TAX-507286,794395127,543 Market St,Singapore,SG,billing@apexgroup.com
ERP-450233,PINNACLE CORP PRIVATE LIMITED,SG-TAX-806396,178151583,275 Tech Park,Singapore,SG,billing@pinnaclecorp.com
ERP-450235,BETA ENTERPRISES PRIVATE LIMITED,SG-TAX-515898,403932500,713 Market St,Singapore,SG,billing@betaenterprises.com
ERP-450236,TECH HOLDINGS PRIVATE LIMITED,SG-TAX-588640,443847870,904 Tech Park,Singapore,SG,billing@techholdings.com
ERP-450237,INNOVATE HOLDINGS PRIVATE LIMITED,SG-TAX-877259,727099478,47 Market St,Singapore,SG,billing@innovateholdings.com
ERP-450239,ABC HOLDINGS PRIVATE LIMITED,SG-TAX-858705,280639501,782 Tech Park,Singapore,SG,billing@abcholdings.com
ERP-450241,FUTURE SOLUTIONS PRIVATE LIMITED,SG-TAX-532424,859317542,783 Industrial Ave,Singapore,SG,billing@futuresolutions.com
ERP-450242,ALPHA NETWORKS PRIVATE LIMITED,SG-TAX-116495,112724887,676 Tech Park,Singapore,SG,billing@alphanetworks.com
ERP-450244,GLOBAL CORP PRIVATE LIMITED,SG-TAX-380310,535968611,259 Innovation Dr,Singapore,SG,billing@globalcorp.com
ERP-450248,ALPHA SOLUTIONS PRIVATE LIMITED,SG-TAX-288066,322434334,921 Industrial Ave,Singapore,SG,billing@alphasolutions.com
ERP-450250,DYNAMIC SYSTEMS PRIVATE LIMITED,SG-TAX-156304,181623972,513 Innovation Dr,Singapore,SG,billing@dynamicsystems.com
ERP-450251,APEX HOLDINGS PRIVATE LIMITED,SG-TAX-921609,693819730,650 Innovation Dr,Singapore,SG,billing@apexholdings.com
ERP-450252,APEX SYSTEMS PRIVATE LIMITED,SG-TAX-189856,364623437,677 Tech Park,Singapore,SG,billing@apexsystems.com
ERP-450253,BETA LOGISTICS PRIVATE LIMITED,SG-TAX-875584,198269319,390 Market St,Singapore,SG,billing@betalogistics.com
ERP-450254,TECH SOLUTIONS PRIVATE LIMITED,SG-TAX-551914,538134097,90 Market St,Singapore,SG,billing@techsolutions.com
ERP-450255,QUANTUM NETWORKS PRIVATE LIMITED,SG-TAX-112940,190945411,885 Tech Park,Singapore,SG,billing@quantumnetworks.com
ERP-450256,PINNACLE CORP PRIVATE LIMITED,SG-TAX-818605,423337234,534 Market St,Singapore,SG,billing@pinnaclecorp.com
ERP-450258,QUANTUM CORP PRIVATE LIMITED,SG-TAX-419457,765926290,110 Market St,Singapore,SG,billing@quantumcorp.com
ERP-450259,APEX NETWORKS PRIVATE LIMITED,SG-TAX-732512,290736564,308 Innovation Dr,Singapore,SG,billing@apexnetworks.com
ERP-450261,QUANTUM INDUSTRIES PRIVATE LIMITED,SG-TAX-862538,956508307,699 Industrial Ave,Singapore,SG,billing@quantumindustries.com
ERP-450262,DYNAMIC GROUP PRIVATE LIMITED,SG-TAX-353777,554330180,143 Innovation Dr,Singapore,SG,billing@dynamicgroup.com
ERP-450263,BETA ENTERPRISES PRIVATE LIMITED,SG-TAX-660324,139476288,597 Tech Park,Singapore,SG,billing@betaenterprises.com
ERP-450265,ABC GROUP PRIVATE LIMITED,SG-TAX-211090,648334433,989 Tech Park,Singapore,SG,billing@abcgroup.com
ERP-450268,INNOVATE LOGISTICS PRIVATE LIMITED,SG-TAX-646428,570477095,467 Market St,Singapore,SG,billing@innovatelogistics.com
ERP-450269,SUMMIT HOLDINGS PRIVATE LIMITED,SG-TAX-949541,468377143,308 Industrial Ave,Singapore,SG,billing@summitholdings.com
ERP-450270,ABC SYSTEMS PRIVATE LIMITED,SG-TAX-678719,596126873,529 Market St,Singapore,SG,billing@abcsystems.com
ERP-450271,ABC GROUP PRIVATE LIMITED,SG-TAX-571413,856704108,30 Market St,Singapore,SG,billing@abcgroup.com
ERP-450272,DYNAMIC SOLUTIONS PRIVATE LIMITED,SG-TAX-483561,381699808,105 Market St,Singapore,SG,billing@dynamicsolutions.com
ERP-450273,SUMMIT INDUSTRIES PRIVATE LIMITED,SG-TAX-741003,477940931,612 Tech Park,Singapore,SG,billing@summitindustries.com
ERP-450274,QUANTUM SYSTEMS PRIVATE LIMITED,SG-TAX-804758,427899285,941 Industrial Ave,Singapore,SG,billing@quantumsystems.com
ERP-450276,ABC SYSTEMS PRIVATE LIMITED,SG-TAX-402865,584258607,171 Tech Park,Singapore,SG,billing@abcsystems.com
ERP-450278,SUMMIT GROUP PRIVATE LIMITED,SG-TAX-612438,954570592,426 Tech Park,Singapore,SG,billing@summitgroup.com
ERP-450279,TECH COMPONENTS PRIVATE LIMITED,SG-TAX-276379,929516706,231 Innovation Dr,Singapore,SG,billing@techcomponents.com
ERP-450282,INNOVATE SOLUTIONS PRIVATE LIMITED,SG-TAX-913308,892005907,887 Industrial Ave,Singapore,SG,billing@innovatesolutions.com
ERP-450284,PINNACLE LOGISTICS PRIVATE LIMITED,SG-TAX-838253,652348887,173 Innovation Dr,Singapore,SG,billing@pinnaclelogistics.com
ERP-450285,ABC SOLUTIONS PRIVATE LIMITED,SG-TAX-162165,242475723,986 Tech Park,Singapore,SG,billing@abcsolutions.com
ERP-450286,DYNAMIC GROUP PRIVATE LIMITED,SG-TAX-758309,780352629,146 Innovation Dr,Singapore,SG,billing@dynamicgroup.com
ERP-450288,XYZ SOLUTIONS PRIVATE LIMITED,SG-TAX-991401,561325766,651 Innovation Dr,Singapore,SG,billing@xyzsolutions.com
ERP-450289,SUMMIT LOGISTICS PRIVATE LIMITED,SG-TAX-454161,621127607,849 Innovation Dr,Singapore,SG,billing@summitlogistics.com
ERP-450290,ABC COMPONENTS PRIVATE LIMITED,SG-TAX-117072,100725768,102 Tech Park,Singapore,SG,billing@abccomponents.com
ERP-450292,GAMMA COMPONENTS PRIVATE LIMITED,SG-TAX-861253,197924383,641 Innovation Dr,Singapore,SG,billing@gammacomponents.com
ERP-450295,GAMMA GROUP PRIVATE LIMITED,SG-TAX-171734,797953888,657 Market St,Singapore,SG,billing@gammagroup.com
ERP-450296,XYZ SYSTEMS PRIVATE LIMITED,SG-TAX-327797,232239057,631 Tech Park,Singapore,SG,billing@xyzsystems.com
ERP-450297,APEX HOLDINGS PRIVATE LIMITED,SG-TAX-359822,694205108,323 Market St,Singapore,SG,billing@apexholdings.com
ERP-450299,APEX LOGISTICS PRIVATE LIMITED,SG-TAX-618927,785135687,803 Market St,Singapore,SG,billing@apexlogistics.com
ERP-450300,PINNACLE COMPONENTS PRIVATE LIMITED,SG-TAX-238394,686645526,957 Innovation Dr,Singapore,SG,billing@pinnaclecomponents.com
ERP-450301,DYNAMIC ENTERPRISES PRIVATE LIMITED,SG-TAX-114463,164927936,18 Industrial Ave,Singapore,SG,billing@dynamicenterprises.com
ERP-450302,APEX INDUSTRIES PRIVATE LIMITED,SG-TAX-544150,676132087,644 Tech Park,Singapore,SG,billing@apexindustries.com
ERP-450303,GAMMA LOGISTICS PRIVATE LIMITED,SG-TAX-636141,519544755,318 Industrial Ave,Singapore,SG,billing@gammalogistics.com
ERP-450304,DYNAMIC SOLUTIONS PRIVATE LIMITED,SG-TAX-865416,192570281,716 Tech Park,Singapore,SG,billing@dynamicsolutions.com
ERP-450305,BETA ENTERPRISES PRIVATE LIMITED,SG-TAX-225245,112187618,317 Market St,Singapore,SG,billing@betaenterprises.com
ERP-450307,APEX LOGISTICS PRIVATE LIMITED,SG-TAX-846925,588764892,66 Innovation Dr,Singapore,SG,billing@apexlogistics.com
